,u,i,ts,label,idx
225,2770,3915,12521.0,0.0,7139
226,5747,5597,12589.0,0.0,5202
227,9501,10458,12689.0,0.0,3964
228,2770,14407,12715.0,0.0,2167
229,9075,9075,12756.0,0.0,180
230,3732,10573,12841.0,0.0,1482
231,3732,10573,12864.0,0.0,3940
232,3732,10573,12912.0,0.0,2388
233,3732,10573,13070.0,0.0,2381
234,3732,10573,13134.0,0.0,6419
235,611,3915,13444.0,0.0,7068
236,10870,3915,13448.0,0.0,655
237,506,13165,13482.0,0.0,6920
238,10865,10865,13533.0,0.0,2847
239,2770,10011,13620.0,0.0,2167
240,611,7645,13624.0,0.0,2310
241,28,28,13719.0,0.0,1000
242,3732,10573,13732.0,0.0,2389
243,506,12804,13732.0,0.0,6920
244,3732,10573,13735.0,0.0,464
245,12979,13931,13742.0,0.0,3434
246,15154,15154,13750.0,0.0,5627
247,15154,15154,13752.0,0.0,5626
248,3732,14823,13764.0,0.0,463
249,3732,10573,13768.0,0.0,1161
250,2770,10597,13777.0,0.0,2781
251,3732,10573,13777.0,0.0,1162
252,2770,10597,13781.0,0.0,2167
253,12444,7922,13788.0,0.0,5396
254,15154,15154,13791.0,0.0,6395
255,2770,5169,13799.0,0.0,2167
256,12979,13931,13806.0,0.0,5073
257,2770,10597,13833.0,0.0,6242
258,1986,9186,13843.0,0.0,2218
259,2770,10597,13859.0,0.0,6244
260,2770,10597,13873.0,0.0,7139
261,28,28,13927.0,0.0,2507
262,506,2408,13965.0,0.0,6920
263,12979,13931,13976.0,0.0,3437
264,41,7922,14010.0,0.0,2804
265,506,6865,14043.0,0.0,6920
266,506,10779,14134.0,0.0,6920
267,15154,15154,14155.0,0.0,6794
268,3732,14265,14160.0,0.0,5618
269,8869,9902,14202.0,0.0,3574
270,15154,15154,14228.0,0.0,6396
271,506,9873,14241.0,0.0,6920
272,1986,9186,14247.0,0.0,6745
273,3732,14265,14302.0,0.0,3939
274,3732,14265,14315.0,0.0,2389
275,3732,14265,14322.0,0.0,464
276,2770,1543,14325.0,0.0,2167
277,3732,14265,14354.0,0.0,463
278,3732,14265,14365.0,0.0,1161
279,1986,9186,14378.0,0.0,6749
280,1986,9186,14379.0,0.0,6929
281,1986,9186,14404.0,0.0,6930
282,1986,9186,14409.0,0.0,6669
283,1986,9186,14428.0,0.0,2967
284,3732,14265,14429.0,0.0,1162
285,1986,9186,14445.0,0.0,6667
286,5302,7230,14449.0,0.0,7094
287,1986,9186,14486.0,0.0,2125
288,1986,9186,14493.0,0.0,6747
289,1986,9186,14506.0,0.0,6744
290,1986,9186,14522.0,0.0,6751
291,1986,9186,14554.0,0.0,6063
292,1986,9186,14559.0,0.0,6927
293,1986,9186,14574.0,0.0,6668
294,1986,9186,14583.0,0.0,2299
295,1986,9186,14584.0,0.0,6746
296,1986,9186,14588.0,0.0,6670
297,10865,10865,14591.0,0.0,2844
298,5302,430,14643.0,0.0,7095
299,28,28,14647.0,0.0,3846
300,1986,9186,14648.0,0.0,6672
301,1986,9186,14650.0,0.0,6752
302,506,14790,14653.0,0.0,6920
303,1986,9186,14682.0,0.0,2124
304,1986,4990,14695.0,0.0,6930
305,10865,10865,14757.0,0.0,5097
306,9834,9834,14774.0,0.0,5684
307,1986,9186,14795.0,0.0,2969
308,506,15284,14843.0,0.0,6920
309,10865,10865,14876.0,0.0,2843
310,13472,8292,14915.0,0.0,959
311,1986,9186,14919.0,0.0,6671
312,506,2200,15002.0,0.0,1251
313,2770,2111,15015.0,0.0,2167
314,9501,1377,15037.0,0.0,4534
315,506,13786,15064.0,0.0,6920
316,9501,9501,15070.0,0.0,4534
317,1986,10912,15072.0,0.0,2968
318,1986,9186,15073.0,0.0,2968
319,1986,9186,15096.0,0.0,6748
320,1457,1457,15116.0,0.0,6374
321,14251,3691,15142.0,0.0,7196
322,7388,13813,15163.0,0.0,4948
323,506,2149,15178.0,0.0,6920
324,11833,9928,15198.0,0.0,3270
325,506,9651,15247.0,0.0,6920
326,10865,10865,15267.0,0.0,1057
327,506,13621,15276.0,0.0,6920
328,506,2200,15291.0,0.0,6920
329,1457,1457,15300.0,0.0,3825
330,506,13813,15323.0,0.0,6920
331,1457,1457,15334.0,0.0,6373
332,12643,13813,15365.0,0.0,2210
333,506,13938,15401.0,0.0,6920
334,10865,10865,15404.0,0.0,7031
335,506,13972,15569.0,0.0,6920
336,506,12764,15595.0,0.0,6920
337,1457,1457,15603.0,0.0,5066
338,1457,1457,15632.0,0.0,5984
339,800,2707,15647.0,0.0,6135
340,506,14481,15701.0,0.0,6920
341,13508,14316,15757.0,0.0,3705
342,10181,10867,15760.0,0.0,179
343,5302,1324,15889.0,0.0,7094
344,11833,11447,15900.0,0.0,3270
345,11833,8950,15933.0,0.0,3270
346,9834,9834,15954.0,0.0,5007
347,9834,9834,15954.0,0.0,4531
348,9834,9834,15989.0,0.0,4532
349,2866,2866,16004.0,0.0,3861
350,9501,10119,16016.0,0.0,4534
351,1986,9453,16058.0,0.0,2969
352,41,6499,16220.0,0.0,2804
353,10181,11013,16238.0,0.0,179
354,506,4301,16255.0,0.0,6920
355,13661,13661,16271.0,0.0,5775
356,506,11074,16289.0,0.0,6920
357,506,13971,16321.0,0.0,6920
358,506,13290,16331.0,0.0,6920
359,1986,13932,16337.0,0.0,6748
360,506,6820,16349.0,0.0,6920
361,506,14923,16384.0,0.0,6920
362,506,12675,16389.0,0.0,6920
363,506,13152,16411.0,0.0,6920
364,2770,5169,16452.0,0.0,6130
365,506,15391,16549.0,0.0,6920
366,9501,835,16584.0,0.0,4534
367,14822,13290,16657.0,0.0,3490
368,9501,4301,16662.0,0.0,3964
369,1986,9186,16663.0,0.0,6663
370,506,4385,16666.0,0.0,6920
371,506,8018,16667.0,0.0,6920
372,10181,2896,16675.0,0.0,179
373,7530,8755,16676.0,0.0,570
374,1986,9186,16677.0,0.0,6743
375,14822,13290,16701.0,0.0,5030
376,7530,2087,16703.0,0.0,570
377,14822,13290,16711.0,0.0,4547
378,1986,9186,16731.0,0.0,6750
379,1986,9186,16732.0,0.0,6060
380,9501,5597,16743.0,0.0,5957
381,10181,835,16760.0,0.0,179
382,506,892,16762.0,0.0,6920
383,14822,13290,16763.0,0.0,1149
384,14822,13290,16769.0,0.0,3489
385,10197,10197,16772.0,0.0,5704
386,1986,9186,16772.0,0.0,6061
387,1986,9186,16778.0,0.0,6059
388,14822,13290,16793.0,0.0,1148
389,9501,9501,16798.0,0.0,5957
390,14822,13290,16819.0,0.0,5034
391,14822,13290,16823.0,0.0,4549
392,11735,2200,16823.0,0.0,7237
393,14822,13290,16825.0,0.0,3488
394,11629,12241,16855.0,0.0,64
395,9501,835,16891.0,0.0,5957
396,1986,9186,16924.0,0.0,6058
397,506,14540,16926.0,0.0,6920
398,506,14412,16930.0,0.0,6920
399,800,8697,16969.0,0.0,5294
400,9501,5106,16978.0,0.0,5957
401,41,1558,16981.0,0.0,2804
402,10197,10197,17005.0,0.0,6506
403,9501,13932,17017.0,0.0,5957
404,1986,13932,17021.0,0.0,6745
405,506,1457,17032.0,0.0,6920
406,506,62,17038.0,0.0,6920
407,15267,10119,17046.0,0.0,2441
408,9501,12132,17052.0,0.0,5957
409,9501,2519,17092.0,0.0,3964
410,10197,10197,17126.0,0.0,7025
411,9501,2127,17137.0,0.0,3964
412,10181,835,17160.0,0.0,478
413,1750,7999,17184.0,0.0,3046
414,506,6214,17189.0,0.0,6920
415,1457,1457,17199.0,0.0,7272
416,506,10536,17210.0,0.0,6920
417,15267,14481,17226.0,0.0,2441
418,12643,6856,17253.0,0.0,2210
419,506,6151,17317.0,0.0,6920
420,3789,6011,17342.0,0.0,6161
421,9501,1703,17352.0,0.0,5957
422,7588,7588,17373.0,0.0,3853
423,15267,5256,17449.0,0.0,5535
424,1798,5302,17472.0,0.0,5236
425,10183,7588,17497.0,0.0,6044
426,1547,10929,17502.0,0.0,5252
427,3789,11308,17508.0,0.0,6161
428,1798,5302,17513.0,0.0,6840
429,13075,13171,17528.0,0.0,586
430,506,7357,17590.0,0.0,6920
431,15267,14481,17590.0,0.0,6167
432,1547,2527,17602.0,0.0,5252
433,9501,2838,17611.0,0.0,5957
434,9501,11655,17612.0,0.0,5957
435,506,10058,17672.0,0.0,6920
436,506,8482,17698.0,0.0,6920
437,1547,7588,17702.0,0.0,5252
438,506,5159,17713.0,0.0,6920
439,506,14252,17721.0,0.0,6920
440,7038,7038,17743.0,0.0,5861
441,1547,1833,17750.0,0.0,5252
442,15267,14481,17755.0,0.0,6230
443,4834,6520,17790.0,0.0,225
